shadow 21x8x21, 1608 ready/0 observed/1920 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 558426 probes (379698 true/178728 false), 1608 ready/0 lost transitions, 0 errors, 2 window changes/2 resizes, events 523 accepted/350 coalesced/0 dropped, sweeps 557902 accepted/2348 coalesced, columns 441 tracked/201 full/0 partial, max 8/8 ready per column, ready per Y 201/201/201/201/201/201/201/201, nearest incomplete 234 blocks/unready 234 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1608 ready/0 observed/1920 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 522196 probes (379796 true/142400 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 4 accepted/4 coalesced/0 dropped, sweeps 522192 accepted/2400 coalesced, columns 441 tracked/201 full/0 partial, max 8/8 ready per column, ready per Y 201/201/201/201/201/201/201/201, nearest incomplete 234 blocks/unready 234 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1608 ready/0 observed/1920 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 32 probes (0 true/32 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 0 accepted/0 coalesced/0 dropped, sweeps 32 accepted/0 coalesced, columns 441 tracked/201 full/0 partial, max 8/8 ready per column, ready per Y 201/201/201/201/201/201/201/201, nearest incomplete 234 blocks/unready 234 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 484035 probes (363101 true/120934 false), 512 ready/264 lost transitions, 0 errors, 3 window changes/0 resizes, events 611 accepted/1283 coalesced/0 dropped, sweeps 483424 accepted/2994 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 225 blocks/unready 225 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1728 ready/0 observed/1800 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 623988 probes (487701 true/136287 false), 825 ready/953 lost transitions, 0 errors, 7 window changes/0 resizes, events 1170 accepted/1861 coalesced/0 dropped, sweeps 622818 accepted/4775 coalesced, columns 441 tracked/216 full/0 partial, max 8/8 ready per column, ready per Y 216/216/216/216/216/216/216/216, nearest incomplete 217 blocks/unready 217 blocks, handoff 160 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 536233 probes (425671 true/110562 false), 536 ready/408 lost transitions, 0 errors, 3 window changes/0 resizes, events 518 accepted/256 coalesced/0 dropped, sweeps 535715 accepted/3707 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 252 blocks/unready 252 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1760 ready/0 observed/1768 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 582288 probes (465160 true/117128 false), 0 ready/96 lost transitions, 0 errors, 1 window changes/0 resizes, events 24 accepted/8 coalesced/0 dropped, sweeps 582264 accepted/3288 coalesced, columns 441 tracked/220 full/0 partial, max 8/8 ready per column, ready per Y 220/220/220/220/220/220/220/220, nearest incomplete 244 blocks/unready 244 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 536716 probes (421095 true/115621 false), 912 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 1113 accepted/2372 coalesced/0 dropped, sweeps 535603 accepted/4735 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 243 blocks/unready 243 blocks, handoff 160 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 553041 probes (436484 true/116557 false), 681 ready/681 lost transitions, 0 errors, 5 window changes/0 resizes, events 985 accepted/6717 coalesced/0 dropped, sweeps 552056 accepted/4608 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 230 blocks/unready 230 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 490585 probes (392777 true/97808 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 58 accepted/1217 coalesced/0 dropped, sweeps 490527 accepted/2601 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 230 blocks/unready 230 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 494288 probes (389350 true/104938 false), 640 ready/640 lost transitions, 0 errors, 5 window changes/0 resizes, events 742 accepted/2623 coalesced/0 dropped, sweeps 493546 accepted/4109 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 242 blocks/unready 242 blocks, handoff 160 blocks (readiness, radial 64)
