shadow 21x8x21, 1608 ready/0 observed/1920 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 616970 probes (448874 true/168096 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 10 accepted/7 coalesced/0 dropped, sweeps 616960 accepted/2816 coalesced, columns 441 tracked/201 full/0 partial, max 8/8 ready per column, ready per Y 201/201/201/201/201/201/201/201
shadow 21x8x21, 1608 ready/0 observed/1920 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 32 probes (0 true/32 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 0 accepted/0 coalesced/0 dropped, sweeps 32 accepted/0 coalesced, columns 441 tracked/201 full/0 partial, max 8/8 ready per column, ready per Y 201/201/201/201/201/201/201/201
shadow 21x8x21, 1848 ready/0 observed/1680 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 474853 probes (350154 true/124699 false), 368 ready/128 lost transitions, 0 errors, 2 window changes/0 resizes, events 418 accepted/139 coalesced/0 dropped, sweeps 474435 accepted/2628 coalesced, columns 441 tracked/231 full/0 partial, max 8/8 ready per column, ready per Y 231/231/231/231/231/231/231/231
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 1 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 605537 probes (474948 true/130589 false), 824 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 1072 accepted/1082 coalesced/0 dropped, sweeps 604466 accepted/4562 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 553376 probes (435865 true/117511 false), 680 ready/680 lost transitions, 0 errors, 5 window changes/0 resizes, events 838 accepted/322 coalesced/0 dropped, sweeps 552537 accepted/4210 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 619818 probes (496394 true/123424 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 10 accepted/16 coalesced/0 dropped, sweeps 619808 accepted/3304 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 568324 probes (447038 true/121286 false), 640 ready/776 lost transitions, 0 errors, 6 window changes/0 resizes, events 943 accepted/735 coalesced/0 dropped, sweeps 567381 accepted/4763 coalesced, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 549817 probes (432228 true/117589 false), 952 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 1139 accepted/1650 coalesced/0 dropped, sweeps 548678 accepted/4797 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 502772 probes (403292 true/99480 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 117 accepted/627 coalesced/0 dropped, sweeps 502655 accepted/2673 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1795 ready/0 observed/1733 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 486040 probes (383644 true/102396 false), 444 ready/505 lost transitions, 0 errors, 4 window changes/0 resizes, events 593 accepted/343 coalesced/0 dropped, sweeps 485447 accepted/3770 coalesced, columns 441 tracked/224 full/1 partial, max 8/8 ready per column, ready per Y 225/225/225/224/224/224/224/224
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 3 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 552118 probes (432572 true/119546 false), 877 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 978 accepted/908 coalesced/0 dropped, sweeps 551143 accepted/4708 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
