shadow 21x8x21, 65 ready/0 observed/3463 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 9480 probes (5557 true/3923 false), 65 ready/0 lost transitions, 0 errors, 2 window changes/2 resizes, events 9479 accepted/718 coalesced/0 dropped, columns 441 tracked/3 full/37 partial, max 8/8 ready per column, ready per Y 5/6/4/34/6/3/4/3
shadow 21x8x21, 1658 ready/0 observed/1870 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 102563 probes (98403 true/4160 false), 1721 ready/128 lost transitions, 0 errors, 2 window changes/0 resizes, events 102563 accepted/939 coalesced/0 dropped, columns 441 tracked/207 full/2 partial, max 8/8 ready per column, ready per Y 208/207/208/207/207/207/207/207
shadow 21x8x21, 1658 ready/0 observed/1870 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 104 probes (104 true/0 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 104 accepted/0 coalesced/0 dropped, columns 441 tracked/207 full/2 partial, max 8/8 ready per column, ready per Y 208/207/208/207/207/207/207/207
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 436536 probes (424802 true/11734 false), 879 ready/817 lost transitions, 0 errors, 6 window changes/0 resizes, events 436536 accepted/4784 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1727 ready/0 observed/1801 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 400086 probes (390341 true/9745 false), 687 ready/680 lost transitions, 0 errors, 5 window changes/0 resizes, events 400086 accepted/3725 coalesced/0 dropped, columns 441 tracked/215 full/5 partial, max 8/8 ready per column, ready per Y 218/216/216/217/215/215/215/215
shadow 21x8x21, 1727 ready/0 observed/1801 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 432744 probes (432744 true/0 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 432744 accepted/2850 coalesced/0 dropped, columns 441 tracked/215 full/5 partial, max 8/8 ready per column, ready per Y 218/216/216/217/215/215/215/215
shadow 21x8x21, 1721 ready/0 observed/1807 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 415434 probes (403832 true/11602 false), 770 ready/776 lost transitions, 0 errors, 6 window changes/0 resizes, events 415434 accepted/4629 coalesced/0 dropped, columns 441 tracked/215 full/1 partial, max 8/8 ready per column, ready per Y 216/215/215/215/215/215/215/215
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 397266 probes (385512 true/11754 false), 815 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 397266 accepted/5360 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1726 ready/0 observed/1802 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 352232 probes (352232 true/0 false), 6 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 352232 accepted/3055 coalesced/0 dropped, columns 441 tracked/215 full/5 partial, max 8/8 ready per column, ready per Y 215/215/215/220/216/215/215/215
shadow 21x8x21, 1721 ready/0 observed/1807 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 352958 probes (345249 true/7709 false), 499 ready/504 lost transitions, 0 errors, 4 window changes/0 resizes, events 352958 accepted/3387 coalesced/0 dropped, columns 441 tracked/215 full/1 partial, max 8/8 ready per column, ready per Y 215/216/215/215/215/215/215/215
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 400317 probes (388613 true/11704 false), 815 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 400317 accepted/4581 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1724 ready/0 observed/1804 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 364786 probes (358924 true/5862 false), 412 ready/408 lost transitions, 0 errors, 3 window changes/0 resizes, events 364786 accepted/4217 coalesced/0 dropped, columns 441 tracked/215 full/4 partial, max 8/8 ready per column, ready per Y 216/215/215/217/216/215/215/215
