"run","time","meshes","evicted","selected","draw_culled","subtrees_culled","frames","walk_avg_us","walk_max_us","draw_avg_us","draw_max_us","schedule_max_us","walk_p95_us","walk_p99_us","draw_p95_us","draw_p99_us","projection_resets","uploaded_mib","game_tick_p95_us","game_tick_p99_us","game_tick_max_us","hitches_25ms"
"off","10:14:38","543","0","349","190","0","8170","63.8","373","83.9","541.5","40","100","150","150","225","0","11.58","875","2250","2427","0"
"off","10:14:53","543","0","349","190","0","7423","62.1","259.3","127","622.1","38","100","150","175","275","0","12.7","150","500","555","0"
"off","10:15:08","543","0","363","314","0","7021","64.5","342.9","140.4","711.1","37","100","150","225","325","0","3.8","1250","1750","3915","0"
"off","10:15:23","543","0","376","206","0","7445","66.7","409.7","92","451.4","41","100","150","150","225","1","36.74","1250","1750","1812","0"
"off","10:15:38","543","0","376","212","0","6304","69.1","347.4","131.4","556.3","43","100","150","200","275","0","14.73","300","1250","1310","0"
"off","10:15:53","543","0","376","299","0","6651","69.8","438.7","117.3","612.9","0","100","150","175","250","0","0","525","1500","1976","0"
"off","10:16:08","543","0","376","294","0","6621","69.5","371.5","103.3","596.3","19","100","150","150","225","0","0","1500","2250","3911","0"
"off","10:16:23","543","0","376","202","0","6465","69.9","362.7","113.8","868.7","43","100","150","200","250","0","10.3","900","1750","2057","0"
"off","10:16:38","543","0","373","219","0","6009","69.9","352.2","140.1","741.8","44","100","175","200","300","0","13.33","275","1250","1569","0"
"off","10:16:53","543","0","357","288","0","6763","67.5","416.8","95.5","4311.9","78","100","150","150","225","0","14.13","1250","1750","2470","0"
"off","10:17:08","543","0","338","296","0","5871","64.9","437.3","132.4","586.9","28","100","150","225","325","0","0","1500","2500","4659","0"
"off","10:17:23","543","0","338","296","0","6642","63.1","347","55.8","304.2","279","100","175","100","150","0","8.8","325","675","725","0"
"off","10:17:38","543","0","344","192","0","6670","61.8","403.4","68.3","374","19","100","150","125","175","0","0","300","1500","1627","0"
"off","10:17:53","543","0","350","311","0","7332","63.3","332.8","117.8","684.3","21","100","150","200","275","1","0","1250","1750","2271","0"
"on","10:23:12","543","0","160","0","35","8135","39.9","248.6","69.4","555.6","38","75","125","150","250","0","6.44","1250","2250","2286","0"
"on","10:23:27","543","0","160","0","35","7479","66.2","302.5","120.7","471.4","0","100","150","175","250","0","0","250","600","893","0"
"on","10:23:42","543","0","149","0","36","6902","75.2","362.6","147.7","996.1","41","125","175","250","325","0","8.32","750","1500","1608","0"
"on","10:23:57","543","0","159","0","35","7523","37.5","251","65.7","540.1","46","75","100","125","200","1","13.97","1250","2250","4244","0"
"on","10:24:12","543","0","165","0","22","6037","65.9","340.1","127","522.3","43","100","150","200","275","0","22.98","450","1250","1359","0"
"on","10:24:27","543","0","102","0","43","6317","62.9","361.3","120.1","700.4","44","100","175","200","300","0","3.88","275","1500","2110","0"
"on","10:24:42","543","0","115","0","28","6493","47.1","220.1","87","637.4","73","75","125","150","225","0","9.79","1250","1750","2189","0"
"on","10:24:57","543","0","175","0","47","6474","51.3","316.3","91.2","3998.8","78","100","125","150","225","0","9.1","1250","1750","2182","0"
"on","10:25:12","543","0","175","0","47","5786","70","322.2","133.4","1120.6","79","100","150","200","275","0","15","275","475","659","0"
"on","10:25:27","543","0","71","0","31","6567","49.9","356.8","92.3","503.5","41","100","125","175","225","0","11.47","1250","1750","2230","0"
"on","10:25:42","543","0","176","0","43","6342","62.5","332.8","119.2","3696.7","41","125","150","225","300","0","6.52","1500","1750","2337","0"
"on","10:25:57","543","0","43","0","30","6428","25.8","307.3","40.2","394.3","38","75","75","125","150","0","7.2","375","1750","3645","0"
"on","10:26:12","543","0","96","0","22","6814","26.1","156.7","40.5","362.9","14","50","75","75","125","0","0","275","1750","2078","0"
"on","10:26:27","543","0","58","0","37","6898","65.7","394","127.3","7753.7","43","125","150","225","325","1","14.59","1250","1500","1853","0"
